,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/ambrosus,Ambrosus,Completed,"$32,229,228.00",22.10.2017,$0.29545,$0.951278,3.220,63
https://www.icodata.io/coin/cybermiles,CyberMiles,Completed,"$32,030,393.00",22.11.2017,$0.053291,$0,0.000,0
https://www.icodata.io/coin/chainlink,ChainLink,Completed,"$32,000,000.00",19.09.2017,$0.091429,$1.03015,11.267,0
https://www.icodata.io/coin/polybius,Polybius,Completed,"$31,645,088.00",05.07.2017,$8.66865,$7.80747,0.901,0
https://www.icodata.io/coin/quantstamp,Quantstamp,Completed,"$31,300,000.00",19.11.2017,$0.070878,$0.493482,6.962,0
https://www.icodata.io/coin/trade.io,Trade Token,Completed,"$31,169,749.00",04.01.2018,$1.60833,$1.41489,0.880,79
https://www.icodata.io/coin/blackmoon-crypto,Blackmoon Crypto,Completed,"$30,000,000.00",13.09.2017,$1,$1.42713,1.427,0
https://www.icodata.io/coin/storj,Storj,Completed,"$30,000,000.00",26.05.2017,$0.5,$1.97995,3.960,0
https://www.icodata.io/coin/universa,Universa,Completed,"$28,724,497.00",09.12.2017,$0.01,$0,0.000,0
https://www.icodata.io/coin/eidoo,Eidoo,Completed,"$27,461,287.00",16.10.2017,$2.567026,$5.53284,2.155,0
https://www.icodata.io/coin/change,Change,Completed,"$27,108,330.00",16.10.2017,$0.66676,$0.863087,1.294,0
https://www.icodata.io/coin/streamr,Streamr DATAcoin,Completed,"$27,000,000.00",13.10.2017,$0.0636,$0.238606,3.752,0
https://www.icodata.io/coin/monaco,Monaco,Completed,"$26,954,906.00",18.06.2017,$2.844425,$17.0306,5.987,0
https://www.icodata.io/coin/power-ledger,Power Ledger,Completed,"$26,518,446.00",06.10.2017,$0.0838,$1.36393,16.276,0
https://www.icodata.io/coin/everex,Everex,Completed,"$26,383,026.00",31.08.2017,$2.135207,$4.68399,2.194,0
https://www.icodata.io/coin/worldcore,Worldcore,Completed,"$26,283,200.00",15.12.2017,$0,$0,0.000,0
